postcode,city,state,state_code
82100,Ayer Baloi,Johor,JHR
86100,Ayer Hitam,Johor,JHR
81920,Ayer Tawar 2,Johor,JHR
81930,Bandar Penawar,Johor,JHR
81960,Bandar Penawar,Johor,JHR
81440,Bandar Tenggara,Johor,JHR
85100,Batu Anam,Johor,JHR
83000,Batu Pahat,Johor,JHR
83010,Batu Pahat,Johor,JHR
83020,Batu Pahat,Johor,JHR
83030,Batu Pahat,Johor,JHR
83040,Batu Pahat,Johor,JHR
83050,Batu Pahat,Johor,JHR
86400,Batu Pahat,Johor,JHR
86500,Bekok,Johor,JHR
82200,Benut,Johor,JHR
84800,Bukit Gambir,Johor,JHR
84300,Bukit Pasir,Johor,JHR
85400,Chaah,Johor,JHR
86900,Endau,Johor,JHR
86999,Endau,Johor,JHR
81550,Gelang Patah,Johor,JHR
81560,Gelang Patah,Johor,JHR
84700,Gerisek,Johor,JHR
84710,Gerisek,Johor,JHR
81450,Gugusan Taib Andak,Johor,JHR
79000,Iskandar Puteri,Johor,JHR
79050,Iskandar Puteri,Johor,JHR
79100,Iskandar Puteri,Johor,JHR
79150,Iskandar Puteri,Johor,JHR
79200,Iskandar Puteri,Johor,JHR
79250,Iskandar Puteri,Johor,JHR
79502,Iskandar Puteri,Johor,JHR
79503,Iskandar Puteri,Johor,JHR
79504,Iskandar Puteri,Johor,JHR
79505,Iskandar Puteri,Johor,JHR
79511,Iskandar Puteri,Johor,JHR
79513,Iskandar Puteri,Johor,JHR
79514,Iskandar Puteri,Johor,JHR
79517,Iskandar Puteri,Johor,JHR
79518,Iskandar Puteri,Johor,JHR
79520,Iskandar Puteri,Johor,JHR
79521,Iskandar Puteri,Johor,JHR
79523,Iskandar Puteri,Johor,JHR
79532,Iskandar Puteri,Johor,JHR
79538,Iskandar Puteri,Johor,JHR
79540,Iskandar Puteri,Johor,JHR
79546,Iskandar Puteri,Johor,JHR
79548,Iskandar Puteri,Johor,JHR
79550,Iskandar Puteri,Johor,JHR
79552,Iskandar Puteri,Johor,JHR
79555,Iskandar Puteri,Johor,JHR
79570,Iskandar Puteri,Johor,JHR
79575,Iskandar Puteri,Johor,JHR
79576,Iskandar Puteri,Johor,JHR
79592,Iskandar Puteri,Johor,JHR
79601,Iskandar Puteri,Johor,JHR
79603,Iskandar Puteri,Johor,JHR
79605,Iskandar Puteri,Johor,JHR
79606,Iskandar Puteri,Johor,JHR
79612,Iskandar Puteri,Johor,JHR
79626,Iskandar Puteri,Johor,JHR
79630,Iskandar Puteri,Johor,JHR
79632,Iskandar Puteri,Johor,JHR
79646,Iskandar Puteri,Johor,JHR
79658,Iskandar Puteri,Johor,JHR
79660,Iskandar Puteri,Johor,JHR
79680,Iskandar Puteri,Johor,JHR
79681,Iskandar Puteri,Johor,JHR
79683,Iskandar Puteri,Johor,JHR
85200,Jementah,Johor,JHR
85210,Jementah,Johor,JHR
80000,Johor Bahru,Johor,JHR
80050,Johor Bahru,Johor,JHR
80100,Johor Bahru,Johor,JHR
80110,Johor Bahru,Johor,JHR
80150,Johor Bahru,Johor,JHR
80200,Johor Bahru,Johor,JHR
80250,Johor Bahru,Johor,JHR
80300,Johor Bahru,Johor,JHR
80350,Johor Bahru,Johor,JHR
80400,Johor Bahru,Johor,JHR
80500,Johor Bahru,Johor,JHR
80502,Johor Bahru,Johor,JHR
80503,Johor Bahru,Johor,JHR
80504,Johor Bahru,Johor,JHR
80505,Johor Bahru,Johor,JHR
80506,Johor Bahru,Johor,JHR
80508,Johor Bahru,Johor,JHR
80514,Johor Bahru,Johor,JHR
80516,Johor Bahru,Johor,JHR
80517,Johor Bahru,Johor,JHR
80518,Johor Bahru,Johor,JHR
80519,Johor Bahru,Johor,JHR
80520,Johor Bahru,Johor,JHR
80529,Johor Bahru,Johor,JHR
80530,Johor Bahru,Johor,JHR
80532,Johor Bahru,Johor,JHR
80534,Johor Bahru,Johor,JHR
80536,Johor Bahru,Johor,JHR
80538,Johor Bahru,Johor,JHR
80540,Johor Bahru,Johor,JHR
80542,Johor Bahru,Johor,JHR
80546,Johor Bahru,Johor,JHR
80548,Johor Bahru,Johor,JHR
80550,Johor Bahru,Johor,JHR
80552,Johor Bahru,Johor,JHR
80558,Johor Bahru,Johor,JHR
80560,Johor Bahru,Johor,JHR
80564,Johor Bahru,Johor,JHR
80568,Johor Bahru,Johor,JHR
80570,Johor Bahru,Johor,JHR
80576,Johor Bahru,Johor,JHR
80578,Johor Bahru,Johor,JHR
80584,Johor Bahru,Johor,JHR
80586,Johor Bahru,Johor,JHR
80590,Johor Bahru,Johor,JHR
80592,Johor Bahru,Johor,JHR
80594,Johor Bahru,Johor,JHR
80596,Johor Bahru,Johor,JHR
80600,Johor Bahru,Johor,JHR
80604,Johor Bahru,Johor,JHR
80606,Johor Bahru,Johor,JHR
80608,Johor Bahru,Johor,JHR
