postcode,city,state,state_code
05000,Alor Setar,Kedah,KDH
05050,Alor Setar,Kedah,KDH
05100,Alor Setar,Kedah,KDH
05150,Alor Setar,Kedah,KDH
05200,Alor Setar,Kedah,KDH
05250,Alor Setar,Kedah,KDH
05300,Alor Setar,Kedah,KDH
05350,Alor Setar,Kedah,KDH
05400,Alor Setar,Kedah,KDH
05450,Alor Setar,Kedah,KDH
05460,Alor Setar,Kedah,KDH
05500,Alor Setar,Kedah,KDH
05502,Alor Setar,Kedah,KDH
05503,Alor Setar,Kedah,KDH
05504,Alor Setar,Kedah,KDH
05505,Alor Setar,Kedah,KDH
05506,Alor Setar,Kedah,KDH
05508,Alor Setar,Kedah,KDH
05512,Alor Setar,Kedah,KDH
05514,Alor Setar,Kedah,KDH
05516,Alor Setar,Kedah,KDH
05517,Alor Setar,Kedah,KDH
05518,Alor Setar,Kedah,KDH
05520,Alor Setar,Kedah,KDH
05532,Alor Setar,Kedah,KDH
05534,Alor Setar,Kedah,KDH
05536,Alor Setar,Kedah,KDH
05538,Alor Setar,Kedah,KDH
05550,Alor Setar,Kedah,KDH
05551,Alor Setar,Kedah,KDH
05552,Alor Setar,Kedah,KDH
05556,Alor Setar,Kedah,KDH
05558,Alor Setar,Kedah,KDH
05560,Alor Setar,Kedah,KDH
05564,Alor Setar,Kedah,KDH
05576,Alor Setar,Kedah,KDH
05578,Alor Setar,Kedah,KDH
05580,Alor Setar,Kedah,KDH
05582,Alor Setar,Kedah,KDH
05586,Alor Setar,Kedah,KDH
05590,Alor Setar,Kedah,KDH
05592,Alor Setar,Kedah,KDH
05594,Alor Setar,Kedah,KDH
05600,Alor Setar,Kedah,KDH
05604,Alor Setar,Kedah,KDH
05610,Alor Setar,Kedah,KDH
05612,Alor Setar,Kedah,KDH
05614,Alor Setar,Kedah,KDH
05620,Alor Setar,Kedah,KDH
05621,Alor Setar,Kedah,KDH
05622,Alor Setar,Kedah,KDH
05626,Alor Setar,Kedah,KDH
05628,Alor Setar,Kedah,KDH
05630,Alor Setar,Kedah,KDH
05632,Alor Setar,Kedah,KDH
05644,Alor Setar,Kedah,KDH
05660,Alor Setar,Kedah,KDH
05661,Alor Setar,Kedah,KDH
05664,Alor Setar,Kedah,KDH
05670,Alor Setar,Kedah,KDH
05672,Alor Setar,Kedah,KDH
05673,Alor Setar,Kedah,KDH
05674,Alor Setar,Kedah,KDH
05675,Alor Setar,Kedah,KDH
05676,Alor Setar,Kedah,KDH
05680,Alor Setar,Kedah,KDH
05690,Alor Setar,Kedah,KDH
05696,Alor Setar,Kedah,KDH
05700,Alor Setar,Kedah,KDH
05710,Alor Setar,Kedah,KDH
05720,Alor Setar,Kedah,KDH
05990,Alor Setar,Kedah,KDH
06250,Alor Setar,Kedah,KDH
06509,Alor Setar,Kedah,KDH
06550,Alor Setar,Kedah,KDH
06570,Alor Setar,Kedah,KDH
06660,Alor Setar,Kedah,KDH
06150,Ayer Hitam,Kedah,KDH
09100,Baling,Kedah,KDH
34950,Bandar Baharu,Kedah,KDH
14290,Bandar Bahru,Kedah,KDH
14390,Bandar Bahru,Kedah,KDH
08100,Bedong,Kedah,KDH
08110,Bedong,Kedah,KDH
06050,Bukit Kayu Hitam,Kedah,KDH
06010,Changloon,Kedah,KDH
08300,Gurun,Kedah,KDH
08330,Gurun,Kedah,KDH
08800,Gurun,Kedah,KDH
08320,Jeniang,Kedah,KDH
08700,Jeniang,Kedah,KDH
06000,Jitra,Kedah,KDH
06007,Jitra,Kedah,KDH
06009,Jitra,Kedah,KDH
09700,Karangan,Kedah,KDH
06200,Kepala Batas,Kedah,KDH
06207,Kepala Batas,Kedah,KDH
06209,Kepala Batas,Kedah,KDH
06100,Kodiang,Kedah,KDH
08500,Kota Kuala Muda,Kedah,KDH
08507,Kota Kuala Muda,Kedah,KDH
08509,Kota Kuala Muda,Kedah,KDH
06800,Kota Sarang Semut,Kedah,KDH
06600,Kuala Kedah,Kedah,KDH
09300,Kuala Ketil,Kedah,KDH
09310,Kuala Ketil,Kedah,KDH
06300,Kuala Nerang,Kedah,KDH
09110,Kuala Pegang,Kedah,KDH
09000,Kulim,Kedah,KDH
09007,Kulim,Kedah,KDH
09009,Kulim,Kedah,KDH
09010,Kulim,Kedah,KDH
09020,Kulim,Kedah,KDH
09200,Kupang,Kedah,KDH
06500,Langgar,Kedah,KDH
06507,Langgar,Kedah,KDH
