postcode,city,state,state_code
17700,Ayer Lanas,Kelantan,KTN
16020,Bachok,Kelantan,KTN
16030,Bachok,Kelantan,KTN
16050,Bachok,Kelantan,KTN
16060,Bachok,Kelantan,KTN
16070,Bachok,Kelantan,KTN
16090,Bachok,Kelantan,KTN
16300,Bachok,Kelantan,KTN
16310,Bachok,Kelantan,KTN
16320,Bachok,Kelantan,KTN
16350,Bachok,Kelantan,KTN
16370,Bachok,Kelantan,KTN
16390,Bachok,Kelantan,KTN
16700,Cherang Ruku,Kelantan,KTN
18200,Dabong,Kelantan,KTN
18300,Gua Musang,Kelantan,KTN
17600,Jeli,Kelantan,KTN
16500,Kem Desa Pahlawan,Kelantan,KTN
16450,Ketereh,Kelantan,KTN
15000,Kota Bharu,Kelantan,KTN
15050,Kota Bharu,Kelantan,KTN
15100,Kota Bharu,Kelantan,KTN
15150,Kota Bharu,Kelantan,KTN
15159,Kota Bharu,Kelantan,KTN
15160,Kota Bharu,Kelantan,KTN
15200,Kota Bharu,Kelantan,KTN
15300,Kota Bharu,Kelantan,KTN
15350,Kota Bharu,Kelantan,KTN
15400,Kota Bharu,Kelantan,KTN
15500,Kota Bharu,Kelantan,KTN
15502,Kota Bharu,Kelantan,KTN
15503,Kota Bharu,Kelantan,KTN
15504,Kota Bharu,Kelantan,KTN
15505,Kota Bharu,Kelantan,KTN
15506,Kota Bharu,Kelantan,KTN
15508,Kota Bharu,Kelantan,KTN
15512,Kota Bharu,Kelantan,KTN
15514,Kota Bharu,Kelantan,KTN
15516,Kota Bharu,Kelantan,KTN
15517,Kota Bharu,Kelantan,KTN
15518,Kota Bharu,Kelantan,KTN
15519,Kota Bharu,Kelantan,KTN
15520,Kota Bharu,Kelantan,KTN
15524,Kota Bharu,Kelantan,KTN
15529,Kota Bharu,Kelantan,KTN
15532,Kota Bharu,Kelantan,KTN
15534,Kota Bharu,Kelantan,KTN
15536,Kota Bharu,Kelantan,KTN
15538,Kota Bharu,Kelantan,KTN
15540,Kota Bharu,Kelantan,KTN
15546,Kota Bharu,Kelantan,KTN
15548,Kota Bharu,Kelantan,KTN
15550,Kota Bharu,Kelantan,KTN
15551,Kota Bharu,Kelantan,KTN
15556,Kota Bharu,Kelantan,KTN
15558,Kota Bharu,Kelantan,KTN
15560,Kota Bharu,Kelantan,KTN
15564,Kota Bharu,Kelantan,KTN
15570,Kota Bharu,Kelantan,KTN
15572,Kota Bharu,Kelantan,KTN
15576,Kota Bharu,Kelantan,KTN
15578,Kota Bharu,Kelantan,KTN
15582,Kota Bharu,Kelantan,KTN
15586,Kota Bharu,Kelantan,KTN
15590,Kota Bharu,Kelantan,KTN
15592,Kota Bharu,Kelantan,KTN
15594,Kota Bharu,Kelantan,KTN
15596,Kota Bharu,Kelantan,KTN
15600,Kota Bharu,Kelantan,KTN
15604,Kota Bharu,Kelantan,KTN
15606,Kota Bharu,Kelantan,KTN
15608,Kota Bharu,Kelantan,KTN
15609,Kota Bharu,Kelantan,KTN
15610,Kota Bharu,Kelantan,KTN
15612,Kota Bharu,Kelantan,KTN
15614,Kota Bharu,Kelantan,KTN
15616,Kota Bharu,Kelantan,KTN
15620,Kota Bharu,Kelantan,KTN
15622,Kota Bharu,Kelantan,KTN
15623,Kota Bharu,Kelantan,KTN
15624,Kota Bharu,Kelantan,KTN
15626,Kota Bharu,Kelantan,KTN
15628,Kota Bharu,Kelantan,KTN
15630,Kota Bharu,Kelantan,KTN
15632,Kota Bharu,Kelantan,KTN
15634,Kota Bharu,Kelantan,KTN
15644,Kota Bharu,Kelantan,KTN
15646,Kota Bharu,Kelantan,KTN
15648,Kota Bharu,Kelantan,KTN
15658,Kota Bharu,Kelantan,KTN
15660,Kota Bharu,Kelantan,KTN
15661,Kota Bharu,Kelantan,KTN
15662,Kota Bharu,Kelantan,KTN
15664,Kota Bharu,Kelantan,KTN
