postcode,city,state,state_code
78000,Alor Gajah,Melaka,MLK
78009,Alor Gajah,Melaka,MLK
77100,Asahan,Melaka,MLK
77109,Asahan,Melaka,MLK
75450,Ayer Keroh,Melaka,MLK
77200,Bemban,Melaka,MLK
76100,Durian Tunggal,Melaka,MLK
76109,Durian Tunggal,Melaka,MLK
77000,Jasin,Melaka,MLK
77007,Jasin,Melaka,MLK
77008,Jasin,Melaka,MLK
77009,Jasin,Melaka,MLK
76200,Kem Trendak,Melaka,MLK
78200,Kuala Sungai Baru,Melaka,MLK
78100,Lubok China,Melaka,MLK
78300,Masjid Tanah,Melaka,MLK
78307,Masjid Tanah,Melaka,MLK
78309,Masjid Tanah,Melaka,MLK
75000,Melaka,Melaka,MLK
75050,Melaka,Melaka,MLK
75100,Melaka,Melaka,MLK
75150,Melaka,Melaka,MLK
75200,Melaka,Melaka,MLK
75250,Melaka,Melaka,MLK
75260,Melaka,Melaka,MLK
75300,Melaka,Melaka,MLK
75350,Melaka,Melaka,MLK
75400,Melaka,Melaka,MLK
75430,Melaka,Melaka,MLK
75460,Melaka,Melaka,MLK
76450,Melaka,Melaka,MLK
77300,Merlimau,Melaka,MLK
77500,Selandar,Melaka,MLK
77400,Sungai Rambai,Melaka,MLK
76300,Sungai Udang,Melaka,MLK
76400,Tanjong Kling,Melaka,MLK
76409,Tanjong Kling,Melaka,MLK
