postcode,city,state,state_code
72100,Bahau,Negeri Sembilan,NSN
72107,Bahau,Negeri Sembilan,NSN
72109,Bahau,Negeri Sembilan,NSN
71760,Bandar Baru Enstek,Negeri Sembilan,NSN
72120,Bandar Seri Jempol,Negeri Sembilan,NSN
72127,Bandar Seri Jempol,Negeri Sembilan,NSN
72129,Bandar Seri Jempol,Negeri Sembilan,NSN
72200,Batu Kikir,Negeri Sembilan,NSN
72207,Batu Kikir,Negeri Sembilan,NSN
72209,Batu Kikir,Negeri Sembilan,NSN
73400,Gemas,Negeri Sembilan,NSN
73409,Gemas,Negeri Sembilan,NSN
73410,Gemas,Negeri Sembilan,NSN
73420,Gemas,Negeri Sembilan,NSN
73480,Gemas,Negeri Sembilan,NSN
73200,Gemencheh,Negeri Sembilan,NSN
73207,Gemencheh,Negeri Sembilan,NSN
73209,Gemencheh,Negeri Sembilan,NSN
73300,Gemencheh,Negeri Sembilan,NSN
73309,Gemencheh,Negeri Sembilan,NSN
73100,Johol,Negeri Sembilan,NSN
73109,Johol,Negeri Sembilan,NSN
71350,Kota,Negeri Sembilan,NSN
71359,Kota,Negeri Sembilan,NSN
71600,Kuala Klawang,Negeri Sembilan,NSN
71609,Kuala Klawang,Negeri Sembilan,NSN
71650,Kuala Klawang,Negeri Sembilan,NSN
71659,Kuala Klawang,Negeri Sembilan,NSN
72000,Kuala Pilah,Negeri Sembilan,NSN
72007,Kuala Pilah,Negeri Sembilan,NSN
72009,Kuala Pilah,Negeri Sembilan,NSN
72500,Kuala Pilah,Negeri Sembilan,NSN
72507,Kuala Pilah,Negeri Sembilan,NSN
72509,Kuala Pilah,Negeri Sembilan,NSN
71900,Labu,Negeri Sembilan,NSN
71907,Labu,Negeri Sembilan,NSN
71909,Labu,Negeri Sembilan,NSN
71150,Linggi,Negeri Sembilan,NSN
71159,Linggi,Negeri Sembilan,NSN
71700,Mantin,Negeri Sembilan,NSN
71707,Mantin,Negeri Sembilan,NSN
71709,Mantin,Negeri Sembilan,NSN
71750,Mantin,Negeri Sembilan,NSN
71759,Mantin,Negeri Sembilan,NSN
71800,Nilai,Negeri Sembilan,NSN
71807,Nilai,Negeri Sembilan,NSN
71809,Nilai,Negeri Sembilan,NSN
71850,Nilai,Negeri Sembilan,NSN
71000,Port Dickson,Negeri Sembilan,NSN
