postcode,city,state,state_code
32400,Ayer Tawar,Perak,PRK
36100,Bagan Datoh,Perak,PRK
34300,Bagan Serai,Perak,PRK
34310,Bagan Serai,Perak,PRK
32610,Bandar Seri Iskandar,Perak,PRK
31000,Batu Gajah,Perak,PRK
31007,Batu Gajah,Perak,PRK
31009,Batu Gajah,Perak,PRK
34500,Batu Kurau,Perak,PRK
34510,Batu Kurau,Perak,PRK
34520,Batu Kurau,Perak,PRK
35950,Behrang Stesen,Perak,PRK
35500,Bidor,Perak,PRK
32600,Bota,Perak,PRK
32700,Bruas,Perak,PRK
34850,Changkat Jering,Perak,PRK
32500,Changkat Keruing,Perak,PRK
31200,Chemor,Perak,PRK
35300,Chenderiang,Perak,PRK
36600,Chenderong Balai,Perak,PRK
36750,Chikus,Perak,PRK
33600,Enggor,Perak,PRK
33300,Gerik,Perak,PRK
33310,Gerik,Perak,PRK
33320,Gerik,Perak,PRK
31600,Gopeng,Perak,PRK
31610,Gopeng,Perak,PRK
36400,Hutan Melintang,Perak,PRK
33200,Intan,Perak,PRK
30000,Ipoh,Perak,PRK
30010,Ipoh,Perak,PRK
30020,Ipoh,Perak,PRK
30100,Ipoh,Perak,PRK
30200,Ipoh,Perak,PRK
30205,Ipoh,Perak,PRK
30250,Ipoh,Perak,PRK
30300,Ipoh,Perak,PRK
30350,Ipoh,Perak,PRK
30400,Ipoh,Perak,PRK
30450,Ipoh,Perak,PRK
30500,Ipoh,Perak,PRK
30502,Ipoh,Perak,PRK
30503,Ipoh,Perak,PRK
30504,Ipoh,Perak,PRK
30505,Ipoh,Perak,PRK
30506,Ipoh,Perak,PRK
30508,Ipoh,Perak,PRK
30510,Ipoh,Perak,PRK
30512,Ipoh,Perak,PRK
30516,Ipoh,Perak,PRK
30517,Ipoh,Perak,PRK
30518,Ipoh,Perak,PRK
30519,Ipoh,Perak,PRK
30520,Ipoh,Perak,PRK
30524,Ipoh,Perak,PRK
30532,Ipoh,Perak,PRK
30534,Ipoh,Perak,PRK
30536,Ipoh,Perak,PRK
30540,Ipoh,Perak,PRK
30542,Ipoh,Perak,PRK
30546,Ipoh,Perak,PRK
30548,Ipoh,Perak,PRK
30550,Ipoh,Perak,PRK
30551,Ipoh,Perak,PRK
30552,Ipoh,Perak,PRK
30554,Ipoh,Perak,PRK
30556,Ipoh,Perak,PRK
30560,Ipoh,Perak,PRK
30564,Ipoh,Perak,PRK
30570,Ipoh,Perak,PRK
30576,Ipoh,Perak,PRK
30580,Ipoh,Perak,PRK
30582,Ipoh,Perak,PRK
30586,Ipoh,Perak,PRK
30590,Ipoh,Perak,PRK
30592,Ipoh,Perak,PRK
30594,Ipoh,Perak,PRK
30596,Ipoh,Perak,PRK
30600,Ipoh,Perak,PRK
30604,Ipoh,Perak,PRK
30606,Ipoh,Perak,PRK
30609,Ipoh,Perak,PRK
30610,Ipoh,Perak,PRK
30612,Ipoh,Perak,PRK
30614,Ipoh,Perak,PRK
30620,Ipoh,Perak,PRK
30621,Ipoh,Perak,PRK
30622,Ipoh,Perak,PRK
30626,Ipoh,Perak,PRK
30628,Ipoh,Perak,PRK
30630,Ipoh,Perak,PRK
30632,Ipoh,Perak,PRK
30634,Ipoh,Perak,PRK
30644,Ipoh,Perak,PRK
30646,Ipoh,Perak,PRK
30648,Ipoh,Perak,PRK
30656,Ipoh,Perak,PRK
30658,Ipoh,Perak,PRK
30660,Ipoh,Perak,PRK
30661,Ipoh,Perak,PRK
30662,Ipoh,Perak,PRK
30664,Ipoh,Perak,PRK
30668,Ipoh,Perak,PRK
30670,Ipoh,Perak,PRK
30673,Ipoh,Perak,PRK
30674,Ipoh,Perak,PRK
30676,Ipoh,Perak,PRK
30682,Ipoh,Perak,PRK
30690,Ipoh,Perak,PRK
30700,Ipoh,Perak,PRK
30710,Ipoh,Perak,PRK
30720,Ipoh,Perak,PRK
30730,Ipoh,Perak,PRK
30740,Ipoh,Perak,PRK
30750,Ipoh,Perak,PRK
30760,Ipoh,Perak,PRK
30770,Ipoh,Perak,PRK
30780,Ipoh,Perak,PRK
30790,Ipoh,Perak,PRK
30800,Ipoh,Perak,PRK
30810,Ipoh,Perak,PRK
30820,Ipoh,Perak,PRK
30830,Ipoh,Perak,PRK
30840,Ipoh,Perak,PRK
30900,Ipoh,Perak,PRK
30902,Ipoh,Perak,PRK
30904,Ipoh,Perak,PRK
30906,Ipoh,Perak,PRK
30908,Ipoh,Perak,PRK
30910,Ipoh,Perak,PRK
30912,Ipoh,Perak,PRK
30988,Ipoh,Perak,PRK
30990,Ipoh,Perak,PRK
31350,Ipoh,Perak,PRK
31400,Ipoh,Perak,PRK
