postcode,city,state,state_code
02600,Arau,Perlis,PLS
02607,Arau,Perlis,PLS
02609,Arau,Perlis,PLS
02200,Kaki Bukit,Perlis,PLS
01000,Kangar,Perlis,PLS
01007,Kangar,Perlis,PLS
01009,Kangar,Perlis,PLS
01500,Kangar,Perlis,PLS
01502,Kangar,Perlis,PLS
01503,Kangar,Perlis,PLS
01504,Kangar,Perlis,PLS
01505,Kangar,Perlis,PLS
01506,Kangar,Perlis,PLS
01508,Kangar,Perlis,PLS
01512,Kangar,Perlis,PLS
01514,Kangar,Perlis,PLS
01516,Kangar,Perlis,PLS
01517,Kangar,Perlis,PLS
01518,Kangar,Perlis,PLS
01524,Kangar,Perlis,PLS
01529,Kangar,Perlis,PLS
01532,Kangar,Perlis,PLS
01538,Kangar,Perlis,PLS
01540,Kangar,Perlis,PLS
01546,Kangar,Perlis,PLS
01550,Kangar,Perlis,PLS
01551,Kangar,Perlis,PLS
01556,Kangar,Perlis,PLS
01560,Kangar,Perlis,PLS
01564,Kangar,Perlis,PLS
01570,Kangar,Perlis,PLS
01572,Kangar,Perlis,PLS
01576,Kangar,Perlis,PLS
01578,Kangar,Perlis,PLS
01582,Kangar,Perlis,PLS
01586,Kangar,Perlis,PLS
01590,Kangar,Perlis,PLS
01592,Kangar,Perlis,PLS
01594,Kangar,Perlis,PLS
01596,Kangar,Perlis,PLS
01598,Kangar,Perlis,PLS
01600,Kangar,Perlis,PLS
01604,Kangar,Perlis,PLS
01606,Kangar,Perlis,PLS
01608,Kangar,Perlis,PLS
01609,Kangar,Perlis,PLS
01610,Kangar,Perlis,PLS
01612,Kangar,Perlis,PLS
01614,Kangar,Perlis,PLS
01620,Kangar,Perlis,PLS
01622,Kangar,Perlis,PLS
01626,Kangar,Perlis,PLS
01628,Kangar,Perlis,PLS
01630,Kangar,Perlis,PLS
01632,Kangar,Perlis,PLS
01634,Kangar,Perlis,PLS
01644,Kangar,Perlis,PLS
01646,Kangar,Perlis,PLS
01648,Kangar,Perlis,PLS
01660,Kangar,Perlis,PLS
01664,Kangar,Perlis,PLS
01670,Kangar,Perlis,PLS
01672,Kangar,Perlis,PLS
01673,Kangar,Perlis,PLS
01674,Kangar,Perlis,PLS
01676,Kangar,Perlis,PLS
01680,Kangar,Perlis,PLS
01694,Kangar,Perlis,PLS
02400,Kangar,Perlis,PLS
02450,Kangar,Perlis,PLS
02500,Kangar,Perlis,PLS
02000,Kuala Perlis,Perlis,PLS
02100,Padang Besar,Perlis,PLS
02700,Simpang Ampat,Perlis,PLS
02707,Simpang Ampat,Perlis,PLS
02709,Simpang Ampat,Perlis,PLS
02800,Simpang Ampat,Perlis,PLS
