postcode,city,state,state_code
11500,Ayer Itam,Pulau Pinang,PNG
11000,Balik Pulau,Pulau Pinang,PNG
11010,Balik Pulau,Pulau Pinang,PNG
11020,Balik Pulau,Pulau Pinang,PNG
11100,Batu Ferringhi,Pulau Pinang,PNG
11960,Batu Maung,Pulau Pinang,PNG
11900,Bayan Lepas,Pulau Pinang,PNG
11910,Bayan Lepas,Pulau Pinang,PNG
11920,Bayan Lepas,Pulau Pinang,PNG
11950,Bayan Lepas,Pulau Pinang,PNG
14000,Bukit Mertajam,Pulau Pinang,PNG
14007,Bukit Mertajam,Pulau Pinang,PNG
14009,Bukit Mertajam,Pulau Pinang,PNG
14020,Bukit Mertajam,Pulau Pinang,PNG
12000,Butterworth,Pulau Pinang,PNG
12100,Butterworth,Pulau Pinang,PNG
12200,Butterworth,Pulau Pinang,PNG
12300,Butterworth,Pulau Pinang,PNG
12700,Butterworth,Pulau Pinang,PNG
12710,Butterworth,Pulau Pinang,PNG
12720,Butterworth,Pulau Pinang,PNG
12990,Butterworth,Pulau Pinang,PNG
13000,Butterworth,Pulau Pinang,PNG
13009,Butterworth,Pulau Pinang,PNG
13020,Butterworth,Pulau Pinang,PNG
13050,Butterworth,Pulau Pinang,PNG
13400,Butterworth,Pulau Pinang,PNG
13409,Butterworth,Pulau Pinang,PNG
13800,Butterworth,Pulau Pinang,PNG
11700,Gelugor,Pulau Pinang,PNG
11600,Jelutong,Pulau Pinang,PNG
11609,Jelutong,Pulau Pinang,PNG
13200,Kepala Batas,Pulau Pinang,PNG
13210,Kepala Batas,Pulau Pinang,PNG
13220,Kepala Batas,Pulau Pinang,PNG
14400,Kubang Semang,Pulau Pinang,PNG
14300,Nibong Tebal,Pulau Pinang,PNG
14310,Nibong Tebal,Pulau Pinang,PNG
14320,Nibong Tebal,Pulau Pinang,PNG
13100,Penaga,Pulau Pinang,PNG
13110,Penaga,Pulau Pinang,PNG
11300,Penang Hill,Pulau Pinang,PNG
13600,Perai,Pulau Pinang,PNG
13700,Perai,Pulau Pinang,PNG
13500,Permatang Pauh,Pulau Pinang,PNG
10000,Pulau Pinang,Pulau Pinang,PNG
10050,Pulau Pinang,Pulau Pinang,PNG
10100,Pulau Pinang,Pulau Pinang,PNG
10150,Pulau Pinang,Pulau Pinang,PNG
10200,Pulau Pinang,Pulau Pinang,PNG
10250,Pulau Pinang,Pulau Pinang,PNG
10300,Pulau Pinang,Pulau Pinang,PNG
10350,Pulau Pinang,Pulau Pinang,PNG
10400,Pulau Pinang,Pulau Pinang,PNG
10450,Pulau Pinang,Pulau Pinang,PNG
10460,Pulau Pinang,Pulau Pinang,PNG
