postcode,city,state,state_code
89800,Beaufort,Sabah,SBH
89807,Beaufort,Sabah,SBH
89808,Beaufort,Sabah,SBH
89809,Beaufort,Sabah,SBH
90100,Beluran,Sabah,SBH
90107,Beluran,Sabah,SBH
90109,Beluran,Sabah,SBH
88700,Beverly,Sabah,SBH
89260,Beverly,Sabah,SBH
89700,Bongawan,Sabah,SBH
89707,Bongawan,Sabah,SBH
89708,Bongawan,Sabah,SBH
89709,Bongawan,Sabah,SBH
88857,Inanam,Sabah,SBH
89000,Keningau,Sabah,SBH
89007,Keningau,Sabah,SBH
89008,Keningau,Sabah,SBH
89009,Keningau,Sabah,SBH
89150,Kota Belud,Sabah,SBH
89157,Kota Belud,Sabah,SBH
89158,Kota Belud,Sabah,SBH
89159,Kota Belud,Sabah,SBH
88000,Kota Kinabalu,Sabah,SBH
88100,Kota Kinabalu,Sabah,SBH
88110,Kota Kinabalu,Sabah,SBH
88150,Kota Kinabalu,Sabah,SBH
88200,Kota Kinabalu,Sabah,SBH
88220,Kota Kinabalu,Sabah,SBH
88300,Kota Kinabalu,Sabah,SBH
88400,Kota Kinabalu,Sabah,SBH
88450,Kota Kinabalu,Sabah,SBH
88458,Kota Kinabalu,Sabah,SBH
88460,Kota Kinabalu,Sabah,SBH
88500,Kota Kinabalu,Sabah,SBH
88502,Kota Kinabalu,Sabah,SBH
88504,Kota Kinabalu,Sabah,SBH
88505,Kota Kinabalu,Sabah,SBH
88506,Kota Kinabalu,Sabah,SBH
88508,Kota Kinabalu,Sabah,SBH
88510,Kota Kinabalu,Sabah,SBH
88512,Kota Kinabalu,Sabah,SBH
88514,Kota Kinabalu,Sabah,SBH
88516,Kota Kinabalu,Sabah,SBH
88518,Kota Kinabalu,Sabah,SBH
88520,Kota Kinabalu,Sabah,SBH
88526,Kota Kinabalu,Sabah,SBH
88527,Kota Kinabalu,Sabah,SBH
88532,Kota Kinabalu,Sabah,SBH
88534,Kota Kinabalu,Sabah,SBH
88538,Kota Kinabalu,Sabah,SBH
88540,Kota Kinabalu,Sabah,SBH
88546,Kota Kinabalu,Sabah,SBH
88550,Kota Kinabalu,Sabah,SBH
88551,Kota Kinabalu,Sabah,SBH
88552,Kota Kinabalu,Sabah,SBH
88554,Kota Kinabalu,Sabah,SBH
88556,Kota Kinabalu,Sabah,SBH
88558,Kota Kinabalu,Sabah,SBH
88560,Kota Kinabalu,Sabah,SBH
88562,Kota Kinabalu,Sabah,SBH
88564,Kota Kinabalu,Sabah,SBH
88566,Kota Kinabalu,Sabah,SBH
88568,Kota Kinabalu,Sabah,SBH
88570,Kota Kinabalu,Sabah,SBH
88572,Kota Kinabalu,Sabah,SBH
88576,Kota Kinabalu,Sabah,SBH
88580,Kota Kinabalu,Sabah,SBH
88582,Kota Kinabalu,Sabah,SBH
88586,Kota Kinabalu,Sabah,SBH
88590,Kota Kinabalu,Sabah,SBH
88592,Kota Kinabalu,Sabah,SBH
88594,Kota Kinabalu,Sabah,SBH
88596,Kota Kinabalu,Sabah,SBH
88598,Kota Kinabalu,Sabah,SBH
88600,Kota Kinabalu,Sabah,SBH
88602,Kota Kinabalu,Sabah,SBH
88604,Kota Kinabalu,Sabah,SBH
88606,Kota Kinabalu,Sabah,SBH
88608,Kota Kinabalu,Sabah,SBH
88609,Kota Kinabalu,Sabah,SBH
88610,Kota Kinabalu,Sabah,SBH
88612,Kota Kinabalu,Sabah,SBH
88614,Kota Kinabalu,Sabah,SBH
88617,Kota Kinabalu,Sabah,SBH
88618,Kota Kinabalu,Sabah,SBH
88620,Kota Kinabalu,Sabah,SBH
88621,Kota Kinabalu,Sabah,SBH
88622,Kota Kinabalu,Sabah,SBH
88624,Kota Kinabalu,Sabah,SBH
88626,Kota Kinabalu,Sabah,SBH
88628,Kota Kinabalu,Sabah,SBH
88630,Kota Kinabalu,Sabah,SBH
88632,Kota Kinabalu,Sabah,SBH
88634,Kota Kinabalu,Sabah,SBH
88644,Kota Kinabalu,Sabah,SBH
88646,Kota Kinabalu,Sabah,SBH
88648,Kota Kinabalu,Sabah,SBH
88656,Kota Kinabalu,Sabah,SBH
88658,Kota Kinabalu,Sabah,SBH
88660,Kota Kinabalu,Sabah,SBH
88661,Kota Kinabalu,Sabah,SBH
88662,Kota Kinabalu,Sabah,SBH
88670,Kota Kinabalu,Sabah,SBH
88672,Kota Kinabalu,Sabah,SBH
88673,Kota Kinabalu,Sabah,SBH
88675,Kota Kinabalu,Sabah,SBH
88676,Kota Kinabalu,Sabah,SBH
88680,Kota Kinabalu,Sabah,SBH
88690,Kota Kinabalu,Sabah,SBH
88740,Kota Kinabalu,Sabah,SBH
88757,Kota Kinabalu,Sabah,SBH
88758,Kota Kinabalu,Sabah,SBH
88759,Kota Kinabalu,Sabah,SBH
88760,Kota Kinabalu,Sabah,SBH
88761,Kota Kinabalu,Sabah,SBH
88762,Kota Kinabalu,Sabah,SBH
88763,Kota Kinabalu,Sabah,SBH
88764,Kota Kinabalu,Sabah,SBH
88765,Kota Kinabalu,Sabah,SBH
88766,Kota Kinabalu,Sabah,SBH
88767,Kota Kinabalu,Sabah,SBH
88768,Kota Kinabalu,Sabah,SBH
88769,Kota Kinabalu,Sabah,SBH
88770,Kota Kinabalu,Sabah,SBH
88771,Kota Kinabalu,Sabah,SBH
88772,Kota Kinabalu,Sabah,SBH
88773,Kota Kinabalu,Sabah,SBH
88774,Kota Kinabalu,Sabah,SBH
88775,Kota Kinabalu,Sabah,SBH
88776,Kota Kinabalu,Sabah,SBH
88777,Kota Kinabalu,Sabah,SBH
88778,Kota Kinabalu,Sabah,SBH
88779,Kota Kinabalu,Sabah,SBH
88780,Kota Kinabalu,Sabah,SBH
88781,Kota Kinabalu,Sabah,SBH
88782,Kota Kinabalu,Sabah,SBH
88783,Kota Kinabalu,Sabah,SBH
88784,Kota Kinabalu,Sabah,SBH
88785,Kota Kinabalu,Sabah,SBH
88786,Kota Kinabalu,Sabah,SBH
88787,Kota Kinabalu,Sabah,SBH
88788,Kota Kinabalu,Sabah,SBH
88789,Kota Kinabalu,Sabah,SBH
88790,Kota Kinabalu,Sabah,SBH
88800,Kota Kinabalu,Sabah,SBH
88801,Kota Kinabalu,Sabah,SBH
88802,Kota Kinabalu,Sabah,SBH
88803,Kota Kinabalu,Sabah,SBH
88804,Kota Kinabalu,Sabah,SBH
88805,Kota Kinabalu,Sabah,SBH
88806,Kota Kinabalu,Sabah,SBH
88807,Kota Kinabalu,Sabah,SBH
88808,Kota Kinabalu,Sabah,SBH
88809,Kota Kinabalu,Sabah,SBH
