postcode,city,state,state_code
94600,Asajaya,Sarawak,SRW
96350,Balingian,Sarawak,SRW
98050,Baram,Sarawak,SRW
98057,Baram,Sarawak,SRW
98058,Baram,Sarawak,SRW
98059,Baram,Sarawak,SRW
94000,Bau,Sarawak,SRW
94007,Bau,Sarawak,SRW
94009,Bau,Sarawak,SRW
98150,Bekenu,Sarawak,SRW
98157,Bekenu,Sarawak,SRW
98159,Bekenu,Sarawak,SRW
96900,Belaga,Sarawak,SRW
96950,Belaga,Sarawak,SRW
96999,Belaga,Sarawak,SRW
96150,Belawai,Sarawak,SRW
95700,Betong,Sarawak,SRW
95707,Betong,Sarawak,SRW
95709,Betong,Sarawak,SRW
96500,Bintangor,Sarawak,SRW
96507,Bintangor,Sarawak,SRW
96508,Bintangor,Sarawak,SRW
96509,Bintangor,Sarawak,SRW
96510,Bintangor,Sarawak,SRW
97000,Bintulu,Sarawak,SRW
97004,Bintulu,Sarawak,SRW
97007,Bintulu,Sarawak,SRW
97008,Bintulu,Sarawak,SRW
97009,Bintulu,Sarawak,SRW
97010,Bintulu,Sarawak,SRW
97011,Bintulu,Sarawak,SRW
97012,Bintulu,Sarawak,SRW
97013,Bintulu,Sarawak,SRW
97014,Bintulu,Sarawak,SRW
97015,Bintulu,Sarawak,SRW
97300,Bintulu,Sarawak,SRW
96300,Dalat,Sarawak,SRW
96307,Dalat,Sarawak,SRW
96309,Dalat,Sarawak,SRW
96200,Daro,Sarawak,SRW
95500,Debak,Sarawak,SRW
95800,Engkilili,Sarawak,SRW
96600,Julau,Sarawak,SRW
94650,Kabong,Sarawak,SRW
96700,Kanowit,Sarawak,SRW
96707,Kanowit,Sarawak,SRW
96709,Kanowit,Sarawak,SRW
96800,Kapit,Sarawak,SRW
96807,Kapit,Sarawak,SRW
96809,Kapit,Sarawak,SRW
94300,Kota Samarahan,Sarawak,SRW
93000,Kuching,Sarawak,SRW
93010,Kuching,Sarawak,SRW
93030,Kuching,Sarawak,SRW
93050,Kuching,Sarawak,SRW
93100,Kuching,Sarawak,SRW
93150,Kuching,Sarawak,SRW
93200,Kuching,Sarawak,SRW
93250,Kuching,Sarawak,SRW
93300,Kuching,Sarawak,SRW
93350,Kuching,Sarawak,SRW
93400,Kuching,Sarawak,SRW
93450,Kuching,Sarawak,SRW
93500,Kuching,Sarawak,SRW
93502,Kuching,Sarawak,SRW
93503,Kuching,Sarawak,SRW
93504,Kuching,Sarawak,SRW
93505,Kuching,Sarawak,SRW
93506,Kuching,Sarawak,SRW
93507,Kuching,Sarawak,SRW
93508,Kuching,Sarawak,SRW
93514,Kuching,Sarawak,SRW
93516,Kuching,Sarawak,SRW
93517,Kuching,Sarawak,SRW
93518,Kuching,Sarawak,SRW
93519,Kuching,Sarawak,SRW
93520,Kuching,Sarawak,SRW
93527,Kuching,Sarawak,SRW
93529,Kuching,Sarawak,SRW
93532,Kuching,Sarawak,SRW
93540,Kuching,Sarawak,SRW
93550,Kuching,Sarawak,SRW
93551,Kuching,Sarawak,SRW
93552,Kuching,Sarawak,SRW
93554,Kuching,Sarawak,SRW
93556,Kuching,Sarawak,SRW
93558,Kuching,Sarawak,SRW
93560,Kuching,Sarawak,SRW
93564,Kuching,Sarawak,SRW
93566,Kuching,Sarawak,SRW
93570,Kuching,Sarawak,SRW
93572,Kuching,Sarawak,SRW
93576,Kuching,Sarawak,SRW
93578,Kuching,Sarawak,SRW
93582,Kuching,Sarawak,SRW
93586,Kuching,Sarawak,SRW
93590,Kuching,Sarawak,SRW
93592,Kuching,Sarawak,SRW
93594,Kuching,Sarawak,SRW
93596,Kuching,Sarawak,SRW
93600,Kuching,Sarawak,SRW
93604,Kuching,Sarawak,SRW
93606,Kuching,Sarawak,SRW
