postcode,city,state,state_code
68000,Ampang,Selangor,SGR
43650,Bandar Baru Bangi,Selangor,SGR
42300,Bandar Puncak Alam,Selangor,SGR
43600,Bangi,Selangor,SGR
42700,Banting,Selangor,SGR
45600,Batang Berjuntai,Selangor,SGR
45607,Batang Berjuntai,Selangor,SGR
45609,Batang Berjuntai,Selangor,SGR
45620,Batang Berjuntai,Selangor,SGR
45630,Batang Berjuntai,Selangor,SGR
44300,Batang Kali,Selangor,SGR
44309,Batang Kali,Selangor,SGR
44330,Batang Kali,Selangor,SGR
68100,Batu Caves,Selangor,SGR
43700,Beranang,Selangor,SGR
43701,Beranang,Selangor,SGR
45700,Bukit Rotan,Selangor,SGR
43200,Cheras,Selangor,SGR
43207,Cheras,Selangor,SGR
63000,Cyberjaya,Selangor,SGR
63100,Cyberjaya,Selangor,SGR
63200,Cyberjaya,Selangor,SGR
63300,Cyberjaya,Selangor,SGR
43800,Dengkil,Selangor,SGR
43807,Dengkil,Selangor,SGR
43100,Hulu Langat,Selangor,SGR
42600,Jenjarom,Selangor,SGR
42610,Jenjarom,Selangor,SGR
42619,Jenjarom,Selangor,SGR
45800,Jeram,Selangor,SGR
64000,KLIA,Selangor,SGR
43000,Kajang,Selangor,SGR
43007,Kajang,Selangor,SGR
43009,Kajang,Selangor,SGR
43558,Kajang,Selangor,SGR
42200,Kapar,Selangor,SGR
42209,Kapar,Selangor,SGR
44100,Kerling,Selangor,SGR
41000,Klang,Selangor,SGR
41050,Klang,Selangor,SGR
41070,Klang,Selangor,SGR
41100,Klang,Selangor,SGR
41150,Klang,Selangor,SGR
41160,Klang,Selangor,SGR
41200,Klang,Selangor,SGR
41205,Klang,Selangor,SGR
41250,Klang,Selangor,SGR
41299,Klang,Selangor,SGR
41300,Klang,Selangor,SGR
41301,Klang,Selangor,SGR
41400,Klang,Selangor,SGR
41500,Klang,Selangor,SGR
41506,Klang,Selangor,SGR
41560,Klang,Selangor,SGR
41586,Klang,Selangor,SGR
41600,Klang,Selangor,SGR
41670,Klang,Selangor,SGR
41672,Klang,Selangor,SGR
41700,Klang,Selangor,SGR
41710,Klang,Selangor,SGR
41720,Klang,Selangor,SGR
41730,Klang,Selangor,SGR
41750,Klang,Selangor,SGR
41780,Klang,Selangor,SGR
41900,Klang,Selangor,SGR
41902,Klang,Selangor,SGR
41904,Klang,Selangor,SGR
41906,Klang,Selangor,SGR
41908,Klang,Selangor,SGR
41910,Klang,Selangor,SGR
41912,Klang,Selangor,SGR
41914,Klang,Selangor,SGR
41916,Klang,Selangor,SGR
41918,Klang,Selangor,SGR
41990,Klang,Selangor,SGR
42100,Klang,Selangor,SGR
42150,Klang,Selangor,SGR
44000,Kuala Kubu Baru,Selangor,SGR
44010,Kuala Kubu Baru,Selangor,SGR
44020,Kuala Kubu Baru,Selangor,SGR
44110,Kuala Kubu Baru,Selangor,SGR
45000,Kuala Selangor,Selangor,SGR
45010,Kuala Selangor,Selangor,SGR
42000,Pelabuhan Klang,Selangor,SGR
42007,Pelabuhan Klang,Selangor,SGR
42008,Pelabuhan Klang,Selangor,SGR
42009,Pelabuhan Klang,Selangor,SGR
46000,Petaling Jaya,Selangor,SGR
46040,Petaling Jaya,Selangor,SGR
46050,Petaling Jaya,Selangor,SGR
46080,Petaling Jaya,Selangor,SGR
46100,Petaling Jaya,Selangor,SGR
46150,Petaling Jaya,Selangor,SGR
46160,Petaling Jaya,Selangor,SGR
46200,Petaling Jaya,Selangor,SGR
46300,Petaling Jaya,Selangor,SGR
46350,Petaling Jaya,Selangor,SGR
46400,Petaling Jaya,Selangor,SGR
46460,Petaling Jaya,Selangor,SGR
46500,Petaling Jaya,Selangor,SGR
46505,Petaling Jaya,Selangor,SGR
46506,Petaling Jaya,Selangor,SGR
46510,Petaling Jaya,Selangor,SGR
46547,Petaling Jaya,Selangor,SGR
46549,Petaling Jaya,Selangor,SGR
46551,Petaling Jaya,Selangor,SGR
46564,Petaling Jaya,Selangor,SGR
46582,Petaling Jaya,Selangor,SGR
46598,Petaling Jaya,Selangor,SGR
46662,Petaling Jaya,Selangor,SGR
46667,Petaling Jaya,Selangor,SGR
46668,Petaling Jaya,Selangor,SGR
46672,Petaling Jaya,Selangor,SGR
46675,Petaling Jaya,Selangor,SGR
46692,Petaling Jaya,Selangor,SGR
46700,Petaling Jaya,Selangor,SGR
46710,Petaling Jaya,Selangor,SGR
46720,Petaling Jaya,Selangor,SGR
46730,Petaling Jaya,Selangor,SGR
46740,Petaling Jaya,Selangor,SGR
46750,Petaling Jaya,Selangor,SGR
46760,Petaling Jaya,Selangor,SGR
46770,Petaling Jaya,Selangor,SGR
46780,Petaling Jaya,Selangor,SGR
46781,Petaling Jaya,Selangor,SGR
46782,Petaling Jaya,Selangor,SGR
46783,Petaling Jaya,Selangor,SGR
46784,Petaling Jaya,Selangor,SGR
46785,Petaling Jaya,Selangor,SGR
46786,Petaling Jaya,Selangor,SGR
46787,Petaling Jaya,Selangor,SGR
46788,Petaling Jaya,Selangor,SGR
46789,Petaling Jaya,Selangor,SGR
46790,Petaling Jaya,Selangor,SGR
