postcode,city,state,state_code
50000,Kuala Lumpur,Wp Kuala Lumpur,KUL
50050,Kuala Lumpur,Wp Kuala Lumpur,KUL
50088,Kuala Lumpur,Wp Kuala Lumpur,KUL
50100,Kuala Lumpur,Wp Kuala Lumpur,KUL
50150,Kuala Lumpur,Wp Kuala Lumpur,KUL
50200,Kuala Lumpur,Wp Kuala Lumpur,KUL
50250,Kuala Lumpur,Wp Kuala Lumpur,KUL
50300,Kuala Lumpur,Wp Kuala Lumpur,KUL
50350,Kuala Lumpur,Wp Kuala Lumpur,KUL
50400,Kuala Lumpur,Wp Kuala Lumpur,KUL
50420,Kuala Lumpur,Wp Kuala Lumpur,KUL
50450,Kuala Lumpur,Wp Kuala Lumpur,KUL
50460,Kuala Lumpur,Wp Kuala Lumpur,KUL
50470,Kuala Lumpur,Wp Kuala Lumpur,KUL
50480,Kuala Lumpur,Wp Kuala Lumpur,KUL
50489,Kuala Lumpur,Wp Kuala Lumpur,KUL
50490,Kuala Lumpur,Wp Kuala Lumpur,KUL
50500,Kuala Lumpur,Wp Kuala Lumpur,KUL
50502,Kuala Lumpur,Wp Kuala Lumpur,KUL
50504,Kuala Lumpur,Wp Kuala Lumpur,KUL
50505,Kuala Lumpur,Wp Kuala Lumpur,KUL
50506,Kuala Lumpur,Wp Kuala Lumpur,KUL
50507,Kuala Lumpur,Wp Kuala Lumpur,KUL
50508,Kuala Lumpur,Wp Kuala Lumpur,KUL
50512,Kuala Lumpur,Wp Kuala Lumpur,KUL
50514,Kuala Lumpur,Wp Kuala Lumpur,KUL
50515,Kuala Lumpur,Wp Kuala Lumpur,KUL
50519,Kuala Lumpur,Wp Kuala Lumpur,KUL
50528,Kuala Lumpur,Wp Kuala Lumpur,KUL
50529,Kuala Lumpur,Wp Kuala Lumpur,KUL
50530,Kuala Lumpur,Wp Kuala Lumpur,KUL
50532,Kuala Lumpur,Wp Kuala Lumpur,KUL
50534,Kuala Lumpur,Wp Kuala Lumpur,KUL
50536,Kuala Lumpur,Wp Kuala Lumpur,KUL
50538,Kuala Lumpur,Wp Kuala Lumpur,KUL
50540,Kuala Lumpur,Wp Kuala Lumpur,KUL
50544,Kuala Lumpur,Wp Kuala Lumpur,KUL
50546,Kuala Lumpur,Wp Kuala Lumpur,KUL
50548,Kuala Lumpur,Wp Kuala Lumpur,KUL
50550,Kuala Lumpur,Wp Kuala Lumpur,KUL
50551,Kuala Lumpur,Wp Kuala Lumpur,KUL
50552,Kuala Lumpur,Wp Kuala Lumpur,KUL
50554,Kuala Lumpur,Wp Kuala Lumpur,KUL
50556,Kuala Lumpur,Wp Kuala Lumpur,KUL
50560,Kuala Lumpur,Wp Kuala Lumpur,KUL
50562,Kuala Lumpur,Wp Kuala Lumpur,KUL
50564,Kuala Lumpur,Wp Kuala Lumpur,KUL
50566,Kuala Lumpur,Wp Kuala Lumpur,KUL
50568,Kuala Lumpur,Wp Kuala Lumpur,KUL
50572,Kuala Lumpur,Wp Kuala Lumpur,KUL
50576,Kuala Lumpur,Wp Kuala Lumpur,KUL
50578,Kuala Lumpur,Wp Kuala Lumpur,KUL
50580,Kuala Lumpur,Wp Kuala Lumpur,KUL
50582,Kuala Lumpur,Wp Kuala Lumpur,KUL
50586,Kuala Lumpur,Wp Kuala Lumpur,KUL
50588,Kuala Lumpur,Wp Kuala Lumpur,KUL
50590,Kuala Lumpur,Wp Kuala Lumpur,KUL
50592,Kuala Lumpur,Wp Kuala Lumpur,KUL
50594,Kuala Lumpur,Wp Kuala Lumpur,KUL
50596,Kuala Lumpur,Wp Kuala Lumpur,KUL
50598,Kuala Lumpur,Wp Kuala Lumpur,KUL
50599,Kuala Lumpur,Wp Kuala Lumpur,KUL
50600,Kuala Lumpur,Wp Kuala Lumpur,KUL
50603,Kuala Lumpur,Wp Kuala Lumpur,KUL
50604,Kuala Lumpur,Wp Kuala Lumpur,KUL
50605,Kuala Lumpur,Wp Kuala Lumpur,KUL
50608,Kuala Lumpur,Wp Kuala Lumpur,KUL
50609,Kuala Lumpur,Wp Kuala Lumpur,KUL
50610,Kuala Lumpur,Wp Kuala Lumpur,KUL
50612,Kuala Lumpur,Wp Kuala Lumpur,KUL
50614,Kuala Lumpur,Wp Kuala Lumpur,KUL
50620,Kuala Lumpur,Wp Kuala Lumpur,KUL
50621,Kuala Lumpur,Wp Kuala Lumpur,KUL
50622,Kuala Lumpur,Wp Kuala Lumpur,KUL
50623,Kuala Lumpur,Wp Kuala Lumpur,KUL
50626,Kuala Lumpur,Wp Kuala Lumpur,KUL
50630,Kuala Lumpur,Wp Kuala Lumpur,KUL
50632,Kuala Lumpur,Wp Kuala Lumpur,KUL
50634,Kuala Lumpur,Wp Kuala Lumpur,KUL
50636,Kuala Lumpur,Wp Kuala Lumpur,KUL
50638,Kuala Lumpur,Wp Kuala Lumpur,KUL
50640,Kuala Lumpur,Wp Kuala Lumpur,KUL
50642,Kuala Lumpur,Wp Kuala Lumpur,KUL
50644,Kuala Lumpur,Wp Kuala Lumpur,KUL
50646,Kuala Lumpur,Wp Kuala Lumpur,KUL
50648,Kuala Lumpur,Wp Kuala Lumpur,KUL
50650,Kuala Lumpur,Wp Kuala Lumpur,KUL
50652,Kuala Lumpur,Wp Kuala Lumpur,KUL
50653,Kuala Lumpur,Wp Kuala Lumpur,KUL
50656,Kuala Lumpur,Wp Kuala Lumpur,KUL
50658,Kuala Lumpur,Wp Kuala Lumpur,KUL
50660,Kuala Lumpur,Wp Kuala Lumpur,KUL
50661,Kuala Lumpur,Wp Kuala Lumpur,KUL
50662,Kuala Lumpur,Wp Kuala Lumpur,KUL
50664,Kuala Lumpur,Wp Kuala Lumpur,KUL
50666,Kuala Lumpur,Wp Kuala Lumpur,KUL
50668,Kuala Lumpur,Wp Kuala Lumpur,KUL
50670,Kuala Lumpur,Wp Kuala Lumpur,KUL
50672,Kuala Lumpur,Wp Kuala Lumpur,KUL
50673,Kuala Lumpur,Wp Kuala Lumpur,KUL
50674,Kuala Lumpur,Wp Kuala Lumpur,KUL
50676,Kuala Lumpur,Wp Kuala Lumpur,KUL
50677,Kuala Lumpur,Wp Kuala Lumpur,KUL
50678,Kuala Lumpur,Wp Kuala Lumpur,KUL
50680,Kuala Lumpur,Wp Kuala Lumpur,KUL
50682,Kuala Lumpur,Wp Kuala Lumpur,KUL
