postcode,city,state,state_code
87000,Labuan,Wp Labuan,LBN
87007,Labuan,Wp Labuan,LBN
87008,Labuan,Wp Labuan,LBN
87010,Labuan,Wp Labuan,LBN
87011,Labuan,Wp Labuan,LBN
87012,Labuan,Wp Labuan,LBN
87013,Labuan,Wp Labuan,LBN
87014,Labuan,Wp Labuan,LBN
87015,Labuan,Wp Labuan,LBN
87016,Labuan,Wp Labuan,LBN
87017,Labuan,Wp Labuan,LBN
87018,Labuan,Wp Labuan,LBN
87019,Labuan,Wp Labuan,LBN
87020,Labuan,Wp Labuan,LBN
87021,Labuan,Wp Labuan,LBN
87022,Labuan,Wp Labuan,LBN
87023,Labuan,Wp Labuan,LBN
87024,Labuan,Wp Labuan,LBN
87025,Labuan,Wp Labuan,LBN
87026,Labuan,Wp Labuan,LBN
87027,Labuan,Wp Labuan,LBN
87028,Labuan,Wp Labuan,LBN
87029,Labuan,Wp Labuan,LBN
87030,Labuan,Wp Labuan,LBN
87031,Labuan,Wp Labuan,LBN
87032,Labuan,Wp Labuan,LBN
87033,Labuan,Wp Labuan,LBN
