postcode,city,state,state_code
62000,Putrajaya,Wp Putrajaya,PJY
62007,Putrajaya,Wp Putrajaya,PJY
62050,Putrajaya,Wp Putrajaya,PJY
62052,Putrajaya,Wp Putrajaya,PJY
62100,Putrajaya,Wp Putrajaya,PJY
62150,Putrajaya,Wp Putrajaya,PJY
62200,Putrajaya,Wp Putrajaya,PJY
62250,Putrajaya,Wp Putrajaya,PJY
62300,Putrajaya,Wp Putrajaya,PJY
62500,Putrajaya,Wp Putrajaya,PJY
62502,Putrajaya,Wp Putrajaya,PJY
62503,Putrajaya,Wp Putrajaya,PJY
62504,Putrajaya,Wp Putrajaya,PJY
62505,Putrajaya,Wp Putrajaya,PJY
62506,Putrajaya,Wp Putrajaya,PJY
62510,Putrajaya,Wp Putrajaya,PJY
62512,Putrajaya,Wp Putrajaya,PJY
62514,Putrajaya,Wp Putrajaya,PJY
62516,Putrajaya,Wp Putrajaya,PJY
62517,Putrajaya,Wp Putrajaya,PJY
62518,Putrajaya,Wp Putrajaya,PJY
62519,Putrajaya,Wp Putrajaya,PJY
62520,Putrajaya,Wp Putrajaya,PJY
62522,Putrajaya,Wp Putrajaya,PJY
62524,Putrajaya,Wp Putrajaya,PJY
62526,Putrajaya,Wp Putrajaya,PJY
62527,Putrajaya,Wp Putrajaya,PJY
62529,Putrajaya,Wp Putrajaya,PJY
62530,Putrajaya,Wp Putrajaya,PJY
62532,Putrajaya,Wp Putrajaya,PJY
62536,Putrajaya,Wp Putrajaya,PJY
62539,Putrajaya,Wp Putrajaya,PJY
62540,Putrajaya,Wp Putrajaya,PJY
62542,Putrajaya,Wp Putrajaya,PJY
62546,Putrajaya,Wp Putrajaya,PJY
62550,Putrajaya,Wp Putrajaya,PJY
62551,Putrajaya,Wp Putrajaya,PJY
62570,Putrajaya,Wp Putrajaya,PJY
62574,Putrajaya,Wp Putrajaya,PJY
62576,Putrajaya,Wp Putrajaya,PJY
62578,Putrajaya,Wp Putrajaya,PJY
62582,Putrajaya,Wp Putrajaya,PJY
62584,Putrajaya,Wp Putrajaya,PJY
62590,Putrajaya,Wp Putrajaya,PJY
62592,Putrajaya,Wp Putrajaya,PJY
62594,Putrajaya,Wp Putrajaya,PJY
62596,Putrajaya,Wp Putrajaya,PJY
62602,Putrajaya,Wp Putrajaya,PJY
62604,Putrajaya,Wp Putrajaya,PJY
62605,Putrajaya,Wp Putrajaya,PJY
62606,Putrajaya,Wp Putrajaya,PJY
62616,Putrajaya,Wp Putrajaya,PJY
62618,Putrajaya,Wp Putrajaya,PJY
62620,Putrajaya,Wp Putrajaya,PJY
62623,Putrajaya,Wp Putrajaya,PJY
62624,Putrajaya,Wp Putrajaya,PJY
62628,Putrajaya,Wp Putrajaya,PJY
62630,Putrajaya,Wp Putrajaya,PJY
62632,Putrajaya,Wp Putrajaya,PJY
62648,Putrajaya,Wp Putrajaya,PJY
62652,Putrajaya,Wp Putrajaya,PJY
62654,Putrajaya,Wp Putrajaya,PJY
62657,Putrajaya,Wp Putrajaya,PJY
62662,Putrajaya,Wp Putrajaya,PJY
62668,Putrajaya,Wp Putrajaya,PJY
62670,Putrajaya,Wp Putrajaya,PJY
62674,Putrajaya,Wp Putrajaya,PJY
62675,Putrajaya,Wp Putrajaya,PJY
62676,Putrajaya,Wp Putrajaya,PJY
62677,Putrajaya,Wp Putrajaya,PJY
62686,Putrajaya,Wp Putrajaya,PJY
62690,Putrajaya,Wp Putrajaya,PJY
62692,Putrajaya,Wp Putrajaya,PJY
62988,Putrajaya,Wp Putrajaya,PJY
